date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:17:58	939/939	---M-Z	200	added ('OK')	application/javascript	etag:W/%222a729b3e08d29e731b4f4c445f1cc08e%22	https://static.parastorage.com/services/wix-thunderbolt/dist/activePopup.aa33ffdb.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/wix-thunderbolt/dist/activePopup.aa33ffdb.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:01	650/650	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f6b30bc457c84eb6e3bfb470021329c%22	https://static.parastorage.com/services/wix-thunderbolt/dist/scrollRestoration.0f912bbd.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/wix-thunderbolt/dist/scrollRestoration.0f912bbd.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:02	2836/2836	---M-Z	200	added ('OK')	application/javascript	etag:W/%220b6a33aa34856d31032509f1b9635c9d%22	https://static.parastorage.com/services/wix-thunderbolt/dist/scrollToAnchor.6572368a.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/wix-thunderbolt/dist/scrollToAnchor.6572368a.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:04	2900/2900	---M-Z	200	added ('OK')	application/javascript	etag:W/%2284622dc0b23d8e86373f491dd5a06cd3%22	https://static.parastorage.com/services/wix-thunderbolt/dist/windowScroll.9d782e44.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/wix-thunderbolt/dist/windowScroll.9d782e44.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:05	6289/6289	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e33bd72cf6e857d883d24fa91f8f8be4%22	https://static.parastorage.com/services/wix-thunderbolt/dist/backgroundScrub.f7b62c8d.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/wix-thunderbolt/dist/backgroundScrub.f7b62c8d.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:05	4606/4606	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a74ff1caa77a79e296f5b3f16f081ae7%22	https://static.parastorage.com/services/wix-thunderbolt/dist/imageZoom.b928dbd3.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/wix-thunderbolt/dist/imageZoom.b928dbd3.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:06	885/885	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e1bdee991f145507103ad344feff8fd6%22	https://static.parastorage.com/services/wix-thunderbolt/dist/landingPage.8ed9471a.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/wix-thunderbolt/dist/landingPage.8ed9471a.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:06	1518/1518	---M-Z	200	added ('OK')	application/javascript	etag:W/%225b11e943511c11f0492e700787e67c7b%22	https://static.parastorage.com/services/wix-thunderbolt/dist/navigation.1cbc6c36.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/wix-thunderbolt/dist/navigation.1cbc6c36.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:07	920/920	---M-Z	200	added ('OK')	application/javascript	etag:W/%22aab556735e03ca4c1ad62f42904ef602%22	https://static.parastorage.com/services/wix-thunderbolt/dist/onloadCompsBehaviors.29391f12.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/wix-thunderbolt/dist/onloadCompsBehaviors.29391f12.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:08	897/897	---M-Z	200	added ('OK')	application/javascript	etag:W/%22dc267652415ff06dc7a204d44277d6f6%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ooiTpaSharedConfig.129056a0.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/wix-thunderbolt/dist/ooiTpaSharedConfig.129056a0.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:08	3923/3923	---MCZ	200	added ('OK')	application/javascript	etag:W/%22acc66688dbbcad7bf116eb40b5fea5cf%22	https://static.parastorage.com/services/wix-thunderbolt/dist/pageAnchors.b8ec72ab.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/wix-thunderbolt/dist/pageAnchors.b8ec72ab.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:09	1815/1815	---M-Z	200	added ('OK')	application/javascript	etag:W/%22428c5f98dc7da64e9d449c5e7242ad7d%22	https://static.parastorage.com/services/wix-thunderbolt/dist/pageScroll.49043626.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/wix-thunderbolt/dist/pageScroll.49043626.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:09	2414/2414	---M-Z	200	added ('OK')	application/javascript	etag:W/%22267f4e88bf84502f773c31e0672edc5a%22	https://static.parastorage.com/services/wix-thunderbolt/dist/pageTransitions.aa4502cc.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/wix-thunderbolt/dist/pageTransitions.aa4502cc.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:10	3579/3579	---MCZ	200	added ('OK')	application/javascript	etag:W/%226312b05d5a16bd639cf7fa4b0e7f1451%22	https://static.parastorage.com/services/wix-thunderbolt/dist/platformPubsub.6c083030.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/wix-thunderbolt/dist/platformPubsub.6c083030.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:11	3899/3899	---MCZ	200	added ('OK')	application/javascript	etag:W/%221f867a4586c7c3391d7641df85d8242b%22	https://static.parastorage.com/services/wix-thunderbolt/dist/protectedPages.6c9ed4d9.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/wix-thunderbolt/dist/protectedPages.6c9ed4d9.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:11	5846/5846	---M-Z	200	added ('OK')	application/javascript	etag:W/%221f7a15e64fc7bcf1851f4a3d812cb893%22	https://static.parastorage.com/services/wix-thunderbolt/dist/screenIn.d2b83f11.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/wix-thunderbolt/dist/screenIn.d2b83f11.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:12	74516/74516	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a1c4373381cf762486cc117a98c18f37%22	https://static.parastorage.com/services/wix-thunderbolt/dist/tpa.db62e5b9.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/wix-thunderbolt/dist/tpa.db62e5b9.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:13	53140/53140	---M-Z	200	added ('OK')	application/javascript	etag:W/%22b0c360891d6addcb8d9834fcc8b75903%22	https://static.parastorage.com/services/editor-elements/dist/bootstrap-components.8a031f80.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/editor-elements/dist/bootstrap-components.8a031f80.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:14	878/878	---M-Z	200	added ('OK')	application/javascript	etag:W/%223bb97d18820085e0cb2a399aafe8e8cf%22	https://static.parastorage.com/services/editor-elements/dist/Container_CircleArea.d69eadc6.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/editor-elements/dist/Container_CircleArea.d69eadc6.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:14	11296/11296	---M-Z	200	added ('OK')	application/javascript	etag:W/%2286598cdaf38abad5254881e4a780ad8a%22	https://static.parastorage.com/services/editor-elements/dist/DropDownMenu_TextOnlyMenuButtonSkin.ee4d58b2.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/editor-elements/dist/DropDownMenu_TextOnlyMenuButtonSkin.ee4d58b2.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:16	3622/3622	---MCZ	200	added ('OK')	application/javascript	etag:W/%22af6e98b0de11893554f3829e00090c07%22	https://static.parastorage.com/services/editor-elements/dist/FreemiumBannerDesktop.ed74d494.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/editor-elements/dist/FreemiumBannerDesktop.ed74d494.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:16	883/883	---M-Z	200	added ('OK')	application/javascript	etag:W/%228127f0b1019700ba1dd90aa534951f74%22	https://static.parastorage.com/services/editor-elements/dist/Container_DefaultAreaSkin.8db47c7e.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/editor-elements/dist/Container_DefaultAreaSkin.8db47c7e.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:17	921/921	---M-Z	200	added ('OK')	application/javascript	etag:W/%22fd290443b783fa8214c7b68aa84cfcac%22	https://static.parastorage.com/services/editor-elements/dist/AppWidget.b70fddf2.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/editor-elements/dist/AppWidget.b70fddf2.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:18	827/827	---M-Z	200	added ('OK')	application/javascript	etag:W/%22861ad2352c5c6cbd408b11a56da6546e%22	https://static.parastorage.com/services/editor-elements/dist/FiveGridLine_SolidLine.efc9ef7f.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/editor-elements/dist/FiveGridLine_SolidLine.efc9ef7f.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:19	9240/9240	---M-Z	200	added ('OK')	application/javascript	etag:W/%22f9f2c7169ebe253f7b4d9694b7f42242%22	https://static.parastorage.com/services/editor-elements/dist/MatrixGallery_MatrixGalleryTextOnCenterSkin.5dee5057.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/editor-elements/dist/MatrixGallery_MatrixGalleryTextOnCenterSkin.5dee5057.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:19	1127/1127	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a10814dcbc1498bf1bf3c8f295f2ba80%22	https://static.parastorage.com/services/editor-elements/dist/FormContainer_FormContainerSkin.beaaa3d3.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/editor-elements/dist/FormContainer_FormContainerSkin.beaaa3d3.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:20	37848/37848	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228c28b4b9a21227617f8701034f029d2%22	https://static.parastorage.com/services/editor-elements/dist/common-site-members-dialogs.0d18b9f5.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/editor-elements/dist/common-site-members-dialogs.0d18b9f5.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:21	486/486	---M--	200	added ('OK')	application/javascript	etag:%22be29d8cf60c8afa773899f663fd8b37e%22	https://static.parastorage.com/services/editor-elements/dist/TextInput.1c72cea7.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/editor-elements/dist/TextInput.1c72cea7.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:21	2903/2903	---M-Z	200	added ('OK')	application/javascript	etag:W/%22830f93a5d43ada8869497a03ccb96920%22	https://static.parastorage.com/services/editor-elements/dist/TextAreaInput.4f955a42.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/editor-elements/dist/TextAreaInput.4f955a42.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:18:24	432311/432311	---MCZ	200	added ('OK')	text/html	etag:W/%2272d23c291496db51b0cfa186bcb3db3d%22	https://marceloamores61.wixsite.com/marce/?lang=es	C:/Users/MARCE/WEB/marce2/marceloamores61.wixsite.com/marce/indexc69a.html	(from https://marceloamores61.wixsite.com/marce)
10:18:25	432256/432256	---MCZ	200	added ('OK')	text/html	etag:W/%2205ca1379f8890231fa459411dd206fd3%22	https://marceloamores61.wixsite.com/marce/	C:/Users/MARCE/WEB/marce2/marceloamores61.wixsite.com/marce/index.html	(from https://marceloamores61.wixsite.com/marce)
10:18:26	432311/432311	---MCZ	200	added ('OK')	text/html	etag:W/%2272d23c291496db51b0cfa186bcb3db3d%22	https://marceloamores61.wixsite.com/marce?lang=es	C:/Users/MARCE/WEB/marce2/marceloamores61.wixsite.com/marcec69a.html	(from https://marceloamores61.wixsite.com/marce/?lang=es)
10:18:26	349936/349936	---MCZ	200	added ('OK')	text/html	etag:W/%22d3ab203e501f6489b57896a4bbbbed43%22	https://marceloamores61.wixsite.com/marce/portfolio?lang=es	C:/Users/MARCE/WEB/marce2/marceloamores61.wixsite.com/marce/portfolioc69a.html	(from https://marceloamores61.wixsite.com/marce)
10:18:27	288872/288872	---M-Z	200	added ('OK')	application/javascript	etag:W/%2284764e8db34f0eb81e776106399bddee%22	https://static.parastorage.com/services/pro-gallery-santa-wrapper/1.1448.0/viewerScript.bundle.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/pro-gallery-santa-wrapper/1.1448.0/viewerScript.bundle.min.js	(from https://marceloamores61.wixsite.com/marce/portfolio?lang=es)
